method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,50,0.09162743173656054,0.09110991301713511,0.22
Consensus only,50,0.09181833849521354,0.09110991301713511,0.22
Direct,50,0.08893030255567283,0.08897343245917,0.18
OR-R1-like Voting,50,0.09181833849521354,0.09110991301713511,0.22
OptArgus-like Audit,50,0.09162581369513646,0.09110991301713511,0.22
OptiRepair-like Repair-Prompt,50,0.09162581369513646,0.09110991301713511,0.22
ReplenishVerifier-Full,50,0.09162581369513646,0.09110991301713511,0.22
ReplenishVerifier-Repair,50,0.09162581369513646,0.09110991301713511,0.22
ReplenishVerifier-TypeAware,50,0.08749439095612616,0.08753765001893044,0.2
SIRL-like LP-Stats,50,0.0915381641755812,0.09110991301713511,0.22
Solver + Consensus,50,0.09181833849521354,0.09110991301713511,0.22
Solver + Structure,50,0.09162581369513646,0.09110991301713511,0.22
Solver + Structure + Consensus,50,0.09181833849521354,0.09110991301713511,0.22
Solver only,50,0.09162581369513646,0.09110991301713511,0.22
Solver-Filter,50,0.09162581369513646,0.09110991301713511,0.22
Structure + Consensus,50,0.09181833849521354,0.09110991301713511,0.22
Structure only,50,0.09162581369513646,0.09110991301713511,0.22
Structure-Grounded Consistency,50,0.09181833849521354,0.09110991301713511,0.22
Structure-Only,50,0.09162581369513646,0.09110991301713511,0.22
