method,n,structure_completeness,inventory_balance_accuracy,constraint_coverage
Best-of-K,100,0.803203571428572,1.0,0.9394444444444444
Consensus only,100,0.7927952380952378,1.0,0.9344444444444444
Direct,100,0.7489063492063489,1.0,0.8841666666666665
ReplenishVerifier-ConsensusSafe,100,0.8067105158730163,1.0,0.9444444444444444
ReplenishVerifier-Full,100,0.807578571428572,1.0,0.9444444444444444
ReplenishVerifier-FullV2,100,0.807578571428572,1.0,0.9444444444444444
ReplenishVerifier-HybridSafe,100,0.8067105158730163,1.0,0.9444444444444444
ReplenishVerifier-TypeAware,100,0.7805994047619054,1.0,0.9136111111111112
ReplenishVerifier-TypeAware-Consensus,100,0.8067105158730163,1.0,0.9444444444444444
Solver only,100,0.7907476190476187,1.0,0.9323333333333335
Structure only,100,0.807578571428572,1.0,0.9444444444444444
