method,error_type,count,rate,total
Best-of-K,missing_big_m_constraint,3,0.2,15
Best-of-K,missing_capacity_constraint,3,0.2,15
Best-of-K,missing_shortage_variable,6,0.4,15
Best-of-K,objective_mismatch_after_selection,3,0.2,15
Direct,execution_error,15,1.0,15
OR-R1-like Voting,missing_big_m_constraint,3,0.2,15
OR-R1-like Voting,missing_capacity_constraint,3,0.2,15
OR-R1-like Voting,missing_shortage_variable,6,0.4,15
OR-R1-like Voting,objective_mismatch_after_selection,3,0.2,15
OptArgus-like Audit,missing_big_m_constraint,3,0.2,15
OptArgus-like Audit,missing_capacity_constraint,3,0.2,15
OptArgus-like Audit,no_error_detected,9,0.6,15
OptiRepair-like Repair-Prompt,missing_big_m_constraint,3,0.2,15
OptiRepair-like Repair-Prompt,missing_capacity_constraint,3,0.2,15
OptiRepair-like Repair-Prompt,no_error_detected,9,0.6,15
ReplenishVerifier-Full,no_error_detected,12,0.8,15
ReplenishVerifier-Full,objective_mismatch_after_selection,3,0.2,15
ReplenishVerifier-Repair,no_error_detected,12,0.8,15
ReplenishVerifier-Repair,objective_mismatch_after_selection,3,0.2,15
SIRL-like LP-Stats,missing_big_m_constraint,2,0.13333333333333333,15
SIRL-like LP-Stats,missing_capacity_constraint,3,0.2,15
SIRL-like LP-Stats,no_error_detected,10,0.6666666666666666,15
Solver-Filter,missing_big_m_constraint,3,0.2,15
Solver-Filter,missing_capacity_constraint,3,0.2,15
Solver-Filter,missing_shortage_variable,6,0.4,15
Solver-Filter,objective_mismatch_after_selection,3,0.2,15
Structure-Only,no_error_detected,12,0.8,15
Structure-Only,objective_mismatch_after_selection,3,0.2,15
