method,n,executable_rate,optimal_rate,objective_accuracy,structure_completeness,inventory_balance_accuracy,constraint_coverage,average_runtime_sec,average_repair_feedback_count,group,difficulty
Best-of-K,3,1.0,1.0,0.0,0.6,0.0,0.6,0.45161319997472066,2.0,easy,easy
Best-of-K,6,1.0,1.0,0.0,0.6857142857142856,1.0,0.6666666666666666,0.4739329500104456,2.0,hard,hard
Best-of-K,6,1.0,1.0,0.0,0.8333333333333334,1.0,0.8,0.43977201666954596,1.0,medium,medium
Direct,3,0.0,0.0,0.0,0.0,0.0,0.0,0.41608706665768597,0.0,easy,easy
Direct,6,0.0,0.0,0.0,0.0,0.0,0.0,0.46168838335628,0.0,hard,hard
Direct,6,0.0,0.0,0.0,0.0,0.0,0.0,0.42018121668176417,0.0,medium,medium
ReplenishVerifier-Full,3,1.0,1.0,1.0,1.0,0.0,1.0,0.4745013000016722,0.0,easy,easy
ReplenishVerifier-Full,6,1.0,1.0,1.0,1.0,1.0,1.0,0.5059170666791033,0.0,hard,hard
ReplenishVerifier-Full,6,1.0,1.0,0.5,1.0,1.0,1.0,0.46361286667524837,0.0,medium,medium
ReplenishVerifier-Repair,3,1.0,1.0,1.0,1.0,0.0,1.0,0.4745013000016722,0.0,easy,easy
ReplenishVerifier-Repair,6,1.0,1.0,1.0,1.0,1.0,1.0,0.5059170666791033,0.0,hard,hard
ReplenishVerifier-Repair,6,1.0,1.0,0.5,1.0,1.0,1.0,0.46361286667524837,0.0,medium,medium
Solver-Filter,3,1.0,1.0,0.0,0.6,0.0,0.6,0.45161319997472066,2.0,easy,easy
Solver-Filter,6,1.0,1.0,0.0,0.6857142857142856,1.0,0.6666666666666666,0.4739329500104456,2.0,hard,hard
Solver-Filter,6,1.0,1.0,0.0,0.8333333333333334,1.0,0.8,0.43977201666954596,1.0,medium,medium
Structure-Only,3,1.0,1.0,1.0,1.0,0.0,1.0,0.4745013000016722,0.0,easy,easy
Structure-Only,6,1.0,1.0,1.0,1.0,1.0,1.0,0.5059170666791033,0.0,hard,hard
Structure-Only,6,1.0,1.0,0.5,1.0,1.0,1.0,0.46361286667524837,0.0,medium,medium
